ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Ordered,Time_Order_Picked,Weather_conditions,Road_traffic_density,Type_of_vehicle
ORD000059,DP0156,42,3.4,12.966762,77.653159,12.998849,77.489196,08-01-2023,13:27:00,13:31:00,cloudy,low,scooter
ORD000060,DP0147,35,4.2,12.961737,77.565361,13.151344,77.645243,08-01-2023,14:15:00,14:19:00,cloudy,low,bike
ORD000061,DP0130,20,4.6,13.009523,77.50865,13.181698,77.46468,08-01-2023,14:55:00,15:02:00,sunny,jam,scooter
ORD000062,DP0430,18,5,13.055751,77.649405,12.816954,77.475957,08-01-2023,17:02:00,17:04:00,sunny,medium,bike
ORD000063,DP0117,35,4.8,13.089702,77.742817,12.922694,77.510745,08-01-2023,18:23:00,18:31:00,sunny,high,bike
ORD000064,DP0340,33,4.7,12.994859,77.686303,12.847596,77.615901,08-01-2023,21:55:00,22:02:00,sunny,high,scooter
ORD000065,DP0151,33,3.9,12.999516,77.510794,13.074218,77.552518,08-01-2023,23:39:00,23:43:00,sunny,low,scooter
ORD000066,DP0250,34,3.7,12.958725,77.645089,13.023529,77.619522,08-01-2023,03:28:00,03:36:00,foggy,high,bike
ORD000067,DP0180,28,3.1,12.905801,77.684775,13.106278,77.71658,08-01-2023,05:27:00,05:31:00,windy,medium,scooter
ORD000068,DP0444,21,3.8,12.951824,77.666138,13.012985,77.572213,09-01-2023,08:11:00,08:17:00,sunny,jam,bicycle
ORD000069,DP0335,28,3.9,13.034883,77.471137,13.072982,77.709745,09-01-2023,14:25:00,14:31:00,sunny,high,bike
ORD000070,DP0013,22,3.1,12.948962999999999,77.454105,13.168548,77.471098,09-01-2023,19:28:00,19:33:00,cloudy,jam,bike
ORD000071,DP0116,30,3.7,13.038283,77.733503,13.015475,77.453372,09-01-2023,20:49:00,20:54:00,sunny,low,bike
ORD000072,DP0004,36,4.9,13.076404,77.740787,13.086683,77.524585,09-01-2023,21:13:00,21:16:00,sunny,low,bike
ORD000073,DP0045,24,4.8,13.059436,77.690382,13.076305,77.630968,09-01-2023,21:32:00,21:35:00,sunny,high,scooter
ORD000074,DP0421,29,4.6,13.01414,77.53111,12.854092,77.546145,09-01-2023,21:49:00,21:54:00,cloudy,medium,bike
ORD000075,DP0121,21,4.7,12.908186,77.553567,13.144419,77.780392,09-01-2023,22:09:00,22:17:00,sunny,medium,bike
ORD000076,DP0037,26,3.3,13.098424,77.616294,13.131795,77.627673,09-01-2023,23:32:00,23:38:00,sunny,low,bike
ORD000077,DP0031,32,4.7,12.961943,77.460483,12.856161,77.610032,09-01-2023,23:58:00,00:06:00,cloudy,medium,bicycle
ORD000078,DP0332,31,3.4,13.11424,77.595275,12.944604,77.607675,09-01-2023,04:27:00,04:33:00,sunny,low,bike
ORD000079,DP0324,26,4.9,13.105466,77.576413,12.820807,77.408023,10-01-2023,06:43:00,06:49:00,sunny,medium,scooter
ORD000080,DP0300,22,4.9,13.062811,77.527569,13.063404,77.563379,10-01-2023,11:43:00,11:45:00,sunny,jam,scooter
ORD000081,DP0314,30,4.4,12.921793,77.723121,12.910597,77.607354,10-01-2023,15:28:00,15:36:00,cloudy,medium,scooter
ORD000082,DP0400,24,4.3,12.904236,77.721497,13.118971,77.634034,10-01-2023,16:26:00,16:29:00,rainy,medium,bike
ORD000083,DP0486,20,3.7,12.9317,77.49988,13.117749,77.615024,10-01-2023,18:49:00,18:53:00,sunny,medium,scooter
ORD000084,DP0021,27,4.6,12.900649,77.548354,13.035184,77.753292,10-01-2023,21:12:00,21:15:00,sunny,medium,bike
ORD000085,DP0462,30,3.9,13.033616,77.665591,13.189386,77.623672,10-01-2023,21:46:00,21:52:00,windy,low,bike
ORD000086,DP0410,19,4.8,13.119637,77.696394,13.12602,77.616903,10-01-2023,22:41:00,22:44:00,sunny,low,bike
ORD000087,DP0431,23,4.7,13.144148,77.500536,13.156118,77.559675,10-01-2023,23:25:00,23:31:00,rainy,medium,scooter
ORD000088,DP0208,33,4.1,13.033677,77.629708,13.15024,77.721023,10-01-2023,23:27:00,23:33:00,sunny,medium,scooter
ORD000089,DP0124,31,3.9,13.03433,77.707315,13.072439,77.531245,10-01-2023,05:05:00,05:12:00,sunny,low,bike
ORD000090,DP0017,26,3.7,13.13309,77.672697,12.847744,77.576813,11-01-2023,05:59:00,06:03:00,rainy,medium,bicycle
ORD000091,DP0157,23,4.4,13.066193,77.61137,12.993018,77.568378,11-01-2023,07:55:00,07:59:00,sunny,low,bike
ORD000092,DP0206,29,3.6,13.057725,77.636653,13.03307,77.623211,11-01-2023,11:04:00,11:09:00,sunny,low,bike
ORD000093,DP0004,28,4.4,12.922029,77.464313,12.983511,77.734263,11-01-2023,11:36:00,11:43:00,rainy,low,scooter
ORD000094,DP0230,28,3.6,13.008054,77.492558,13.039824,77.536939,11-01-2023,13:55:00,14:01:00,rainy,low,scooter
ORD000095,DP0322,20,4.7,13.078419,77.735701,12.890026,77.438181,11-01-2023,17:28:00,17:30:00,sunny,high,scooter
ORD000096,DP0204,30,4.4,12.915857,77.570735,13.153515,77.728299,11-01-2023,23:33:00,23:41:00,cloudy,medium,bike
ORD000097,DP0314,30,3.5,13.046163,77.619297,13.146458,77.546408,11-01-2023,00:39:00,00:43:00,sunny,jam,bike
ORD000098,DP0434,26,4.8,13.109019,77.498581,13.092837,77.702,11-01-2023,02:17:00,02:24:00,rainy,low,scooter
ORD000099,DP0362,31,4.7,12.87356,77.693242,12.833461,77.545155,12-01-2023,08:06:00,08:14:00,cloudy,high,scooter
ORD000100,DP0019,30,3.4,12.96544,77.558379,12.86201,77.417733,12-01-2023,11:31:00,11:37:00,cloudy,medium,bike
ORD000101,DP0267,28,3.4,12.953539,77.723082,12.983739,77.592701,12-01-2023,12:20:00,12:25:00,sunny,jam,scooter
ORD000102,DP0024,30,3,12.928055,77.611662,12.876635,77.679939,12-01-2023,04:38:00,04:44:00,rainy,high,bicycle
ORD000103,DP0416,23,4.9,13.027435,77.493862,12.986408,77.797482,13-01-2023,07:32:00,07:38:00,sunny,low,bike
ORD000104,DP0108,21,3.8,13.100424,77.62255,12.883292,77.642255,13-01-2023,15:02:00,15:06:00,sunny,medium,scooter
ORD000105,DP0086,32,3.6,13.06683,77.704828,12.947716,77.497996,13-01-2023,16:58:00,17:01:00,cloudy,low,scooter
ORD000106,DP0238,26,4.6,12.919186,77.510905,12.971671,77.508074,13-01-2023,18:16:00,18:19:00,cloudy,medium,bike
ORD000107,DP0326,34,4.9,12.888982,77.742749,12.92688,77.471886,13-01-2023,19:20:00,19:26:00,cloudy,medium,bike
ORD000108,DP0356,28,3.4,12.926019,77.613262,13.09598,77.598854,13-01-2023,19:48:00,19:56:00,cloudy,high,scooter
ORD000109,DP0132,20,4.4,13.00868,77.626908,12.844984,77.648138,13-01-2023,21:43:00,21:47:00,rainy,medium,bike
ORD000110,DP0041,35,4.4,13.121491,77.613396,13.133478,77.678505,13-01-2023,22:03:00,22:08:00,sunny,medium,bicycle
ORD000111,DP0248,38,4.8,12.984292,77.742038,12.900339,77.615491,13-01-2023,03:33:00,03:41:00,sunny,high,scooter
ORD000112,DP0380,31,4.8,12.92672,77.496088,12.941985,77.568755,14-01-2023,06:17:00,06:22:00,windy,medium,bike
ORD000113,DP0261,30,4.9,13.140539,77.594157,12.855139,77.5269,14-01-2023,07:42:00,07:44:00,sunny,medium,bike
ORD000114,DP0381,22,4.8,13.120313,77.66622,13.045531,77.524379,14-01-2023,08:59:00,09:01:00,cloudy,high,bike
ORD000115,DP0480,33,3.6,13.028901,77.492827,13.009531,77.540902,14-01-2023,10:33:00,10:41:00,rainy,high,bike
ORD000116,DP0481,21,4.4,12.887575,77.679686,12.971427,77.556322,14-01-2023,15:10:00,15:16:00,cloudy,high,bicycle
ORD000117,DP0426,19,4.1,13.011342,77.717019,13.055564,77.730898,14-01-2023,15:12:00,15:15:00,cloudy,medium,scooter
ORD000118,DP0076,19,3.1,12.926412,77.529851,12.902153,77.524854,14-01-2023,16:05:00,16:11:00,rainy,medium,scooter
ORD000119,DP0177,29,4.7,12.975777,77.721138,12.868829,77.759629,14-01-2023,18:27:00,18:30:00,rainy,high,bike
ORD000120,DP0231,32,4.7,12.963574,77.631232,13.128945,77.683467,14-01-2023,23:14:00,23:18:00,cloudy,medium,bike
ORD000121,DP0281,25,4.9,12.866134,77.478117,12.92571,77.694805,14-01-2023,00:45:00,00:49:00,cloudy,medium,bike
ORD000122,DP0117,30,3.6,12.943345,77.51905,12.92991,77.61672,14-01-2023,01:21:00,01:26:00,sunny,low,bicycle
ORD000123,DP0430,27,4.7,12.962235,77.552235,13.138713,77.416751,14-01-2023,04:07:00,04:14:00,cloudy,medium,bike
ORD000124,DP0214,22,4.1,13.105781,77.630864,12.847115,77.484746,14-01-2023,04:47:00,04:52:00,cloudy,high,scooter
ORD000125,DP0250,36,5,13.064583,77.674077,12.983358,77.560729,15-01-2023,07:23:00,07:26:00,sunny,medium,bike
ORD000126,DP0293,26,4.9,12.920928,77.503873,12.893418,77.789979,15-01-2023,08:00:00,08:06:00,cloudy,medium,scooter
ORD000127,DP0424,27,3.1,13.070834,77.636096,13.186971,77.478583,15-01-2023,10:34:00,10:38:00,cloudy,medium,bike
ORD000128,DP0255,22,4.6,13.117356,77.658103,12.854305,77.604035,15-01-2023,12:39:00,12:42:00,sunny,low,bike
ORD000129,DP0198,31,4.6,13.039334,77.574176,12.96847,77.490154,15-01-2023,16:52:00,16:54:00,sunny,jam,bike
ORD000130,DP0056,18,3.8,13.133679,77.727718,12.825779,77.51128,15-01-2023,21:38:00,21:45:00,rainy,high,bike
ORD000131,DP0319,25,4.7,12.892265,77.606692,13.089503,77.790681,15-01-2023,22:09:00,22:12:00,sunny,high,bike
ORD000132,DP0432,38,4.3,13.059652,77.554462,12.803094,77.748184,15-01-2023,01:00:00,01:04:00,cloudy,medium,bike
ORD000133,DP0487,36,3.4,13.090679,77.510237,12.938416,77.719764,15-01-2023,01:38:00,01:43:00,sunny,medium,bike
ORD000134,DP0308,20,3.8,12.878406,77.594279,12.83045,77.630528,16-01-2023,06:38:00,06:46:00,sunny,low,bike
ORD000135,DP0300,24,3.9,12.855227,77.593298,12.972587,77.655966,16-01-2023,07:06:00,07:12:00,sunny,high,bike
ORD000136,DP0208,18,4.4,13.05116,77.579428,13.181169,77.583189,16-01-2023,10:40:00,10:44:00,sunny,low,bike
ORD000137,DP0310,30,3.1,12.956759,77.472705,13.030031,77.768211,16-01-2023,13:28:00,13:32:00,rainy,jam,bicycle
ORD000138,DP0041,27,4.5,12.874003,77.477118,12.929567,77.405079,16-01-2023,14:37:00,14:41:00,cloudy,high,scooter
ORD000139,DP0185,25,3.3,12.95363,77.598905,12.808077,77.67311,16-01-2023,04:00:00,04:02:00,sunny,medium,bike
ORD000140,DP0282,26,4.3,13.088425,77.573311,12.826698,77.612825,16-01-2023,05:15:00,05:18:00,sunny,high,bike
ORD000141,DP0103,35,3.9,13.001033,77.637917,12.893386,77.498184,17-01-2023,07:37:00,07:44:00,sunny,low,bike
ORD000142,DP0426,24,3.7,13.127109,77.638478,12.902082,77.568897,17-01-2023,08:25:00,08:30:00,cloudy,high,bike
ORD000143,DP0284,31,3,12.992479,77.640955,12.897874,77.506688,17-01-2023,11:27:00,11:33:00,cloudy,high,bike
ORD000144,DP0071,29,4,12.931108,77.728616,13.167694,77.673639,17-01-2023,14:57:00,15:01:00,sunny,medium,bike
ORD000145,DP0112,30,3.6,13.133437,77.574152,13.009062,77.54869,17-01-2023,16:21:00,16:28:00,sunny,medium,scooter
ORD000146,DP0105,25,3,13.066395,77.744592,12.839013,77.598773,17-01-2023,16:29:00,16:37:00,sunny,high,bike
ORD000147,DP0246,27,5,13.014451,77.565718,12.943395,77.588296,17-01-2023,16:58:00,17:01:00,sunny,medium,bike
ORD000148,DP0392,24,3,13.023409,77.689824,12.904295,77.441957,17-01-2023,17:46:00,17:52:00,windy,medium,bike
ORD000149,DP0332,35,3.5,12.985341,77.738982,13.029449,77.432074,17-01-2023,01:30:00,01:37:00,sunny,jam,bike
ORD000150,DP0141,18,4.1,12.948308,77.682251,12.937133,77.642473,17-01-2023,02:26:00,02:32:00,sunny,medium,scooter
ORD000151,DP0220,30,4.6,13.144191,77.547709,12.937464,77.724819,18-01-2023,08:16:00,08:21:00,cloudy,medium,bike
ORD000152,DP0002,36,3.5,12.963727,77.530327,13.100737,77.74275,18-01-2023,11:20:00,11:23:00,windy,medium,bicycle
ORD000153,DP0443,31,4.5,12.909377,77.60141,12.83555,77.53473,18-01-2023,15:55:00,16:03:00,sunny,medium,bicycle
ORD000154,DP0134,28,4.2,13.027976,77.56833,13.133378,77.65282,18-01-2023,18:59:00,19:03:00,sunny,low,bike
ORD000155,DP0320,29,4.6,12.928919,77.493438,13.138404,77.520712,18-01-2023,21:39:00,21:45:00,sunny,high,bike
ORD000156,DP0281,28,3.1,12.8579,77.556322,12.930367,77.784927,18-01-2023,00:49:00,00:56:00,sunny,high,bike
ORD000157,DP0154,31,4.5,12.904091,77.524345,13.120042,77.733235,19-01-2023,06:50:00,06:58:00,sunny,medium,scooter
ORD000158,DP0159,32,5,12.964432,77.619634,13.089793,77.757844,19-01-2023,07:46:00,07:51:00,sunny,high,scooter
ORD000159,DP0333,18,3.5,12.975322,77.535115,13.056726,77.430316,19-01-2023,08:20:00,08:22:00,sunny,low,scooter
ORD000160,DP0416,35,3.5,12.899476,77.69105,12.803534,77.703235,19-01-2023,13:56:00,14:03:00,sunny,high,bike
ORD000161,DP0163,29,3.2,12.905397,77.458549,12.923425,77.613071,19-01-2023,14:33:00,14:37:00,sunny,low,bike
ORD000162,DP0050,31,3.2,13.098295,77.484114,12.864135,77.425247,19-01-2023,14:56:00,14:58:00,sunny,medium,scooter
ORD000163,DP0355,25,4.2,13.075433,77.593033,12.821063,77.551975,19-01-2023,21:15:00,21:23:00,sunny,medium,bike
ORD000164,DP0484,20,3.8,12.979539,77.524773,13.068102,77.627791,19-01-2023,22:58:00,23:01:00,sunny,jam,bicycle
ORD000165,DP0375,27,3.2,13.0304,77.672201,13.061368,77.682946,20-01-2023,08:11:00,08:19:00,sunny,high,bike
ORD000166,DP0050,33,4.7,12.88825,77.712012,12.920585,77.52236,20-01-2023,10:12:00,10:18:00,sunny,low,bike
ORD000167,DP0150,28,3.2,13.07889,77.655245,13.031259,77.768571,20-01-2023,11:34:00,11:41:00,windy,low,scooter
ORD000168,DP0481,24,3.2,13.077824,77.53112,13.022015,77.654456,20-01-2023,13:02:00,13:08:00,cloudy,high,scooter
ORD000169,DP0371,32,4.7,13.061299,77.522984,13.024247,77.704628,20-01-2023,14:30:00,14:38:00,sunny,medium,scooter
ORD000170,DP0495,36,4.8,13.079733,77.740491,13.104238,77.444067,20-01-2023,18:38:00,18:41:00,sunny,low,scooter
ORD000171,DP0044,25,4.1,12.99336,77.673617,13.099304,77.501927,20-01-2023,23:46:00,23:49:00,cloudy,high,bike
ORD000172,DP0167,33,4.9,12.996214,77.535822,13.125979,77.761529,20-01-2023,01:03:00,01:09:00,sunny,jam,scooter
ORD000173,DP0072,25,4,13.043463,77.594674,13.111995,77.472102,20-01-2023,01:43:00,01:49:00,windy,high,bike
ORD000174,DP0393,31,3.5,12.956221,77.731015,12.839547,77.514894,20-01-2023,03:39:00,03:47:00,sunny,high,bicycle
ORD000175,DP0052,36,4.4,13.111476,77.63916,12.981734,77.548787,21-01-2023,06:15:00,06:20:00,cloudy,medium,scooter
ORD000176,DP0332,26,3.5,13.138931,77.555672,12.830686,77.730169,21-01-2023,08:13:00,08:19:00,sunny,medium,scooter
ORD000177,DP0104,36,3.4,12.97692,77.478,13.07746,77.768741,21-01-2023,10:10:00,10:12:00,cloudy,medium,bike
ORD000178,DP0357,20,4.5,13.108142,77.654553,12.957649,77.634405,21-01-2023,13:10:00,13:16:00,sunny,low,scooter
ORD000179,DP0125,25,3.2,12.998454,77.516796,12.827086,77.49168,21-01-2023,16:18:00,16:20:00,cloudy,high,bike
ORD000180,DP0432,23,5,12.999749,77.716,13.137402,77.63151,21-01-2023,22:39:00,22:42:00,sunny,high,bicycle
ORD000181,DP0426,26,3.2,13.08005,77.587667,12.805323,77.542784,21-01-2023,03:59:00,04:04:00,cloudy,high,bike
ORD000182,DP0213,34,4.5,13.018491,77.573511,12.94536,77.600446,21-01-2023,04:22:00,04:30:00,rainy,low,bike
ORD000183,DP0412,20,3.2,12.960944,77.606353,12.818296,77.750936,21-01-2023,05:02:00,05:09:00,sunny,medium,scooter
ORD000184,DP0381,35,4.1,12.964252,77.496639,12.839763,77.657674,22-01-2023,06:55:00,06:59:00,sunny,low,scooter
ORD000185,DP0234,40,4.4,12.882744,77.573722,12.949809,77.501139,22-01-2023,07:26:00,07:34:00,sunny,high,scooter
ORD000186,DP0486,23,3.2,13.083858,77.584573,12.959342,77.701776,22-01-2023,12:03:00,12:06:00,cloudy,jam,bike
ORD000187,DP0310,29,3.5,12.962445,77.743201,12.881939,77.432076,22-01-2023,12:10:00,12:18:00,sunny,low,scooter
ORD000188,DP0434,35,4.1,12.878372,77.58831,12.843761,77.708685,22-01-2023,17:48:00,17:54:00,rainy,medium,scooter
ORD000189,DP0389,28,3.5,12.890228,77.710221,12.930356,77.76743,22-01-2023,19:21:00,19:25:00,sunny,high,scooter
ORD000190,DP0310,28,4.2,12.997584,77.734052,12.852105,77.644338,22-01-2023,20:38:00,20:45:00,sunny,medium,bike
ORD000191,DP0267,28,3.2,12.964906,77.4976,12.928204,77.698701,22-01-2023,04:07:00,04:10:00,cloudy,low,bike
ORD000192,DP0468,21,3.6,13.015432,77.530362,13.174967,77.753666,23-01-2023,06:53:00,06:57:00,sunny,medium,bike
ORD000193,DP0104,20,4.3,12.964987,77.467665,12.860867,77.407298,23-01-2023,07:13:00,07:21:00,sunny,high,scooter
ORD000194,DP0399,21,4,13.028774,77.661824,12.870197,77.415789,23-01-2023,09:47:00,09:50:00,sunny,medium,bike
ORD000195,DP0184,24,3.5,13.063614,77.481837,13.169435,77.46505,23-01-2023,12:34:00,12:37:00,rainy,medium,bike
ORD000196,DP0470,27,3.7,13.148783,77.54028,13.124389,77.530241,23-01-2023,13:16:00,13:20:00,sunny,medium,bicycle
ORD000197,DP0129,26,3.6,12.972739,77.46857,13.126845,77.641278,23-01-2023,16:12:00,16:16:00,windy,high,bike
ORD000198,DP0469,32,4.8,12.890757,77.656768,13.019273,77.672838,23-01-2023,18:18:00,18:23:00,sunny,medium,bike
ORD000199,DP0087,30,4.8,13.030904,77.502997,12.967988,77.550031,23-01-2023,01:25:00,01:30:00,foggy,low,bike
ORD000200,DP0354,25,3.6,13.138372,77.613196,13.00808,77.688938,23-01-2023,02:14:00,02:17:00,sunny,medium,bike
ORD000201,DP0465,29,4.7,12.966543,77.474296,12.803002,77.675743,23-01-2023,04:09:00,04:12:00,sunny,medium,scooter
ORD000202,DP0403,26,4.6,13.103277,77.555969,12.832165,77.732501,24-01-2023,07:31:00,07:37:00,sunny,medium,bike
ORD000203,DP0496,23,5,12.973766,77.550925,13.029932,77.574809,24-01-2023,08:53:00,08:58:00,rainy,low,bike
ORD000204,DP0218,24,3.8,13.044505,77.632582,13.194042,77.614627,24-01-2023,09:54:00,09:59:00,cloudy,medium,bike
ORD000205,DP0432,38,3.3,13.094682,77.647626,12.905402,77.585687,25-01-2023,07:25:00,07:28:00,sunny,low,bicycle
ORD000206,DP0468,26,4.5,13.135258,77.51206,12.983015,77.721254,25-01-2023,16:26:00,16:33:00,rainy,medium,bike
ORD000207,DP0225,40,4.5,12.862009,77.689539,13.096487,77.481156,25-01-2023,20:05:00,20:13:00,sunny,jam,bike
ORD000208,DP0271,31,4.7,12.998593,77.747714,12.802709,77.438956,25-01-2023,21:37:00,21:40:00,sunny,high,bike
