Traffic_Level,Distance_km,Weather_Index,Rider_Age,Multiple_Deliveries,Hour_of_Day,Is_Festival,Actual_Time_mins,Estimated_mins,Delay_mins,Is_Delayed
1,5.54,2,32,1,20,0,24.5,25.5,-1,0
3,4.36,1,29,0,20,0,21.5,20.7,0.8,1
2,4.92,4,19,1,23,0,28.8,34.1,-5.3,0
2,4.02,1,18,0,4,1,28.1,24.6,3.5,1
2,9.35,2,30,0,4,0,30.7,29.6,1.1,1
2,5.01,1,38,1,9,0,19.2,21.8,-2.6,0
2,3.58,1,28,1,10,0,19.3,22.7,-3.4,0
1,25,1,25,0,10,0,57,58.4,-1.4,0
1,7.62,2,42,0,13,0,29.1,25.7,3.4,1
1,7.35,2,35,1,14,1,34.9,38,-3.1,0
4,2.79,1,20,0,14,1,29.7,34.4,-4.7,0
2,8.5,1,18,1,17,0,28.1,30.1,-2,0
3,9.28,1,35,0,18,0,34.9,30.9,4,1
3,6.13,1,33,0,21,1,36.7,43.6,-6.9,0
1,2.47,1,33,1,23,0,14.9,14.9,0,0
3,10.59,5,34,0,3,1,45.2,41.2,4,1
2,17.02,3,28,0,5,0,47.7,54.1,-6.4,0
4,5.85,1,21,0,8,0,32.8,33.2,-0.4,0
3,4.86,1,28,0,14,1,27.6,32.9,-5.3,0
4,6.15,2,22,0,19,0,35.7,37.2,-1.5,0
1,14.3,1,30,0,20,0,40.8,48.8,-8,0
1,3.81,1,36,0,21,0,18.8,16.2,2.6,1
3,9.21,1,24,1,21,0,43.5,48.8,-5.3,0
2,2.47,2,29,0,21,0,18.2,15.9,2.3,1
2,3.8,1,21,1,22,0,19.1,19.9,-0.8,0
1,2.52,1,26,1,23,0,16.1,18,-1.9,0
2,6.76,2,32,0,23,0,22.8,25.1,-2.3,0
1,3.74,1,31,1,4,1,25.6,30.7,-5.1,0
2,3.58,1,26,1,6,0,15.4,14.8,0.6,1
4,3.86,1,22,1,11,0,28.9,34.4,-5.5,0
2,4.61,2,30,0,15,1,24,25.1,-1.1,0
2,5.55,4,24,0,16,1,32.4,37.9,-5.5,0
2,13.83,1,20,0,18,0,39.3,34.7,4.6,1
2,11.36,1,27,0,21,0,31.3,30.2,1.1,1
1,4.99,3,30,0,21,0,21.8,21,0.8,1
1,8.66,1,19,1,22,0,28,26.9,1.1,1
2,6.4,4,23,0,23,1,35.2,30.6,4.6,1
2,4.91,1,33,0,23,0,19.1,17.8,1.3,1
1,7.61,1,31,1,5,1,29.4,31.8,-2.4,0
2,6.43,4,26,0,5,0,30.6,36.1,-5.5,0
1,8.58,1,23,0,7,1,33.1,38.1,-5,0
1,5.15,1,29,0,11,0,12.9,13.7,-0.8,0
1,4.9,4,28,0,11,0,19.3,18.9,0.4,1
1,4.74,4,28,0,13,0,22.3,24.9,-2.6,0
3,8.41,1,20,0,17,0,30.7,31.4,-0.7,0
2,7.53,2,30,0,23,0,23.9,21,2.9,1
4,8.97,1,30,1,0,0,31.3,27.6,3.7,1
1,4.45,4,26,1,2,0,25.2,29.4,-4.2,0
3,4.82,2,31,1,8,1,38.7,39.5,-0.8,0
2,3.28,2,30,1,11,0,18.8,19.7,-0.9,0
4,2.9,1,28,1,12,0,31.5,31.1,0.4,1
3,8.2,4,30,1,4,0,38.7,45.6,-6.9,0
1,2.95,1,23,1,7,0,19.3,18.1,1.2,1
2,4.93,1,21,1,15,0,24.8,26.3,-1.5,0
1,6.15,2,32,0,16,1,30.4,30.8,-0.4,0
2,3.44,2,26,0,18,1,26.8,30.4,-3.6,0
2,16.44,2,34,0,19,0,51.2,52.9,-1.7,0
3,6.54,2,28,0,19,1,40.7,37.6,3.1,1
2,6.71,4,20,0,21,0,31.4,35.8,-4.4,0
2,7.33,1,35,1,22,0,26.8,24.4,2.4,1
3,5.49,1,38,0,3,0,20.8,22.8,-2,0
2,2.75,3,31,0,6,0,17.7,17.1,0.6,1
2,6.69,1,30,1,7,0,30.7,26.6,4.1,1
3,2.93,2,22,1,8,0,28,28,0,0
3,7.83,4,33,1,10,0,33.7,38.2,-4.5,0
3,5.73,2,21,0,15,0,24.6,24,0.6,1
2,7.13,2,19,0,15,0,27.3,30.9,-3.6,0
2,3.83,4,19,0,16,1,32.2,38.2,-6,0
3,6.29,4,29,0,18,0,28.3,29.6,-1.3,0
2,4.93,2,32,1,23,0,23.3,23.6,-0.3,0
2,7.63,2,25,0,0,0,23.9,21.3,2.6,1
1,5.39,1,30,0,1,0,14.4,15.2,-0.8,0
2,6.05,2,27,0,4,0,20.9,24.7,-3.8,0
3,4.77,2,22,0,4,0,24.2,26.8,-2.6,0
2,3.15,1,36,1,7,1,30.5,33.4,-2.9,0
2,6.03,2,26,0,8,1,26.2,30.3,-4.1,0
2,6.02,2,27,1,10,0,28.4,29.8,-1.4,0
1,6.07,1,22,0,12,0,26.2,30.8,-4.6,0
4,3.41,1,31,0,16,0,19.8,23.3,-3.5,0
3,9.87,4,18,1,21,0,50.5,43.7,6.8,1
3,8.23,1,25,1,22,0,35.4,33.2,2.2,1
2,5.36,2,38,0,1,1,25.6,25,0.6,1
2,8.21,1,36,0,1,1,30.9,36.3,-5.4,0
1,2.94,1,20,0,6,0,7.4,7.8,-0.4,0
3,1.92,1,24,0,7,1,21.9,21.3,0.6,1
1,7.05,1,18,0,10,1,27.4,28.6,-1.2,0
4,13.38,4,30,0,13,1,53.3,54.4,-1.1,0
3,4.5,2,27,1,14,0,26.5,25.8,0.7,1
2,6.33,1,25,1,4,0,28.8,31,-2.2,0
3,8.39,1,26,1,5,0,30.8,33.9,-3.1,0
1,9.79,1,35,0,7,0,23.4,26.6,-3.2,0
3,2.92,2,24,0,8,0,23.7,26.2,-2.5,0
3,6.06,2,31,0,11,0,24.3,24.3,0,0
2,3.62,1,29,0,14,0,19.5,18.5,1,1
2,5.35,1,30,0,16,0,19.2,21.7,-2.5,0
3,4.23,1,25,1,16,0,26.4,28.3,-1.9,0
2,5.52,1,27,0,16,0,25.6,26.6,-1,0
2,5.2,3,24,1,17,1,35.4,32.9,2.5,1
4,3.28,1,35,1,1,0,28.8,27.2,1.6,1
2,5.01,1,18,0,2,0,19.8,23.6,-3.8,0
2,9.38,2,30,0,8,0,25.4,30.2,-4.8,0
2,5.38,3,36,1,11,0,25.2,26.3,-1.1,0
2,3.39,1,31,0,15,0,18.3,16.3,2,1
1,6.13,1,28,0,18,0,20.4,20.8,-0.4,0
3,2.87,1,29,1,21,0,25.6,24.7,0.9,1
3,3.99,1,28,0,0,0,20,18.8,1.2,1
2,5.38,1,31,1,6,0,25.1,24.7,0.4,1
3,3.83,1,32,0,7,0,18.9,20.4,-1.5,0
1,5.19,1,18,1,8,0,18.4,17.4,1,1
3,10.87,1,35,1,13,0,41.5,48.5,-7,0
1,2.37,1,29,0,14,0,5.2,5,0.2,1
2,2.34,1,31,1,14,0,17.9,18.3,-0.4,0
2,6.09,1,25,0,21,0,27.1,28.7,-1.6,0
4,4.99,1,20,0,22,0,26.6,25.3,1.3,1
3,5.56,1,27,0,8,0,22,25.6,-3.6,0
1,7.68,1,33,0,10,1,29.5,33.7,-4.2,0
1,10.21,3,28,1,11,0,35.8,38.6,-2.8,0
3,5.13,2,24,1,13,0,35.8,40.2,-4.4,0
2,9.79,1,32,1,14,1,37.8,34.5,3.3,1
1,13.93,1,36,1,18,1,44.7,42.6,2.1,1
3,3.52,2,25,1,23,0,26.2,23.5,2.7,1
4,10.5,1,33,0,1,0,34.3,38.8,-4.5,0
3,14.3,3,25,1,1,1,58.2,68.1,-9.9,0
3,9.12,1,31,0,3,0,31.5,33.7,-2.2,0
2,9.45,2,36,1,6,0,33.4,39.9,-6.5,0
2,3.65,1,26,0,8,0,22.1,21.1,1,1
2,6.63,2,36,0,10,0,22.4,23.4,-1,0
1,7.29,1,20,1,13,1,39.6,37.6,2,1
3,5.43,2,25,0,16,0,23.1,23.4,-0.3,0
3,4.04,1,23,0,22,0,21.4,25.5,-4.1,0
3,6.72,2,26,0,3,0,23.3,21.6,1.7,1
1,3.9,4,34,1,4,1,24.9,25.6,-0.7,0
2,11.49,1,20,1,5,0,36.8,43.5,-6.7,0
1,13.58,1,35,0,6,0,33.2,38.2,-5,0
3,6.62,1,40,1,7,1,36.6,31.2,5.4,1
4,2.8,2,23,1,12,0,33.6,40.2,-6.6,0
1,9.79,1,29,0,12,1,30.7,27.9,2.8,1
2,3.9,4,35,0,17,1,24.4,28.7,-4.3,0
3,10.09,1,28,1,19,0,42.9,51.2,-8.3,0
2,14.29,1,28,0,20,1,52.6,54.4,-1.8,0
1,7.14,2,28,0,4,0,23.5,22.2,1.3,1
2,8.13,1,21,1,6,1,41.1,38,3.1,1
3,5.89,1,20,0,7,0,24,27,-3,0
2,4.72,1,21,1,9,0,23.6,23.7,-0.1,0
2,3.89,4,24,0,12,0,22,21.6,0.4,1
2,5.71,1,27,0,13,0,30.5,33,-2.5,0
3,12.12,3,26,0,16,0,38.3,33.5,4.8,1
2,8.59,1,32,1,18,1,39.4,36.1,3.3,1
1,5.46,5,30,1,1,1,34.7,39.7,-5,0
2,3.61,1,25,0,2,1,24.9,25.4,-0.5,0
2,5.14,1,29,1,4,0,21.2,22.9,-1.7,0
2,3.91,1,26,1,7,0,20.9,24.2,-3.3,0
1,8.56,4,23,1,8,1,39.2,40.7,-1.5,0
2,3.1,2,24,0,9,1,24.3,23.9,0.4,1
1,6.58,1,38,0,7,0,12.6,14,-1.4,0
2,10.72,4,26,0,16,0,31.2,34.7,-3.5,0
4,8.04,1,40,1,20,0,38.9,34.7,4.2,1
3,5.3,1,31,0,21,0,25,23.7,1.3,1
2,10.14,1,28,0,22,0,31.8,30.8,1,1
2,17.56,1,28,0,2,0,44.2,52.5,-8.3,0
2,6.03,3,30,0,3,0,23.3,21.2,2.1,1
1,3.95,3,32,0,3,0,11,10.9,0.1,1
3,5.06,1,43,0,9,1,33.9,32,1.9,1
3,10.72,3,27,0,10,0,35.8,31.3,4.5,1
2,13.78,2,34,0,10,1,41.6,37,4.6,1
4,5.33,3,21,0,11,1,41.6,49.6,-8,0
1,4.98,4,28,0,14,0,22.4,23.2,-0.8,0
1,5.05,1,31,0,21,0,20.3,18.9,1.4,1
4,3.07,1,27,0,1,0,24.3,20.7,3.6,1
1,6.9,2,25,1,6,0,27.9,29.4,-1.5,0
3,9,2,28,0,8,0,26.2,23.5,2.7,1
3,5.82,1,33,0,11,0,20.7,22.1,-1.4,0
2,10.66,2,22,0,12,0,37.9,32.7,5.2,1
3,7.49,3,34,1,13,0,39.6,35.2,4.4,1
1,7.2,1,24,1,15,1,34.4,31,3.4,1
2,8.39,4,30,1,15,0,33.7,34.9,-1.2,0
2,7.29,3,27,1,1,0,31.9,35.6,-3.7,0
3,4.22,1,33,0,2,0,24.7,23.6,1.1,1
2,13.07,1,24,0,2,0,35,31.8,3.2,1
3,4.16,1,30,1,6,0,30.1,32.7,-2.6,0
3,3.03,1,25,1,7,1,33.3,29.5,3.8,1
2,4.64,2,26,0,8,0,21.8,20.7,1.1,1
4,6.68,2,19,0,8,0,31.6,30,1.6,1
3,3.59,2,20,0,11,0,22.3,20.3,2,1
2,10.27,3,30,1,11,1,41.2,42,-0.8,0
1,6.74,1,35,1,12,0,26.9,29.5,-2.6,0
3,3.57,2,29,0,13,0,21,18.7,2.3,1
3,15.93,1,31,0,18,0,39.4,36.7,2.7,1
2,6.1,2,28,1,19,0,33.8,29.5,4.3,1
1,3.37,1,28,0,21,1,23.2,25.6,-2.4,0
2,6.53,2,28,1,2,1,35.9,35.4,0.5,1
4,15.52,2,31,0,7,0,50.1,44,6.1,1
3,3.99,4,32,1,8,1,36.9,35.8,1.1,1
2,2.89,2,37,0,8,1,21,25.2,-4.2,0
1,4.64,2,36,0,10,0,16.3,17,-0.7,0
3,7.5,4,29,1,15,0,43.2,45.7,-2.5,0
2,5.21,4,28,0,21,1,36.3,34.8,1.5,1
3,7.34,1,25,0,23,0,25.8,22.7,3.1,1
1,4.26,1,26,0,7,1,21,22.6,-1.6,0
2,7.51,1,23,0,12,0,26,29.9,-3.9,0
3,7.6,2,35,0,12,0,29.8,30.3,-0.5,0
3,5.69,1,36,1,12,0,32.8,31.2,1.6,1
2,6.9,2,27,0,14,0,21,19.3,1.7,1
3,6.91,1,34,1,15,0,25.5,25,0.5,1
1,7.46,1,29,1,18,0,24.7,26.3,-1.6,0
2,12,3,28,1,1,1,49.6,45.8,3.8,1
2,10.55,4,36,0,10,0,31.7,30.9,0.8,1
3,17.07,4,26,0,16,1,58.9,62.4,-3.5,0
2,17.47,4,21,1,16,0,56.8,49.9,6.9,1
1,5.44,4,31,0,21,0,26,29.5,-3.5,0
2,6.39,5,25,0,23,0,22.6,26.5,-3.9,0
1,3.64,3,30,1,6,0,17.3,15.5,1.8,1
2,2.52,4,22,0,13,0,21.1,22.1,-1,0
2,10.16,1,24,0,14,1,35.2,41,-5.8,0
1,7.31,1,21,0,14,0,20.7,20,0.7,1
3,25,1,30,0,15,1,67.7,74.7,-7,0
4,6.23,2,29,0,16,1,38.5,41.4,-2.9,0
3,5.44,3,31,1,16,0,32.3,35,-2.7,0
3,9.03,3,38,0,23,1,32.9,30.6,2.3,1
4,2.77,1,32,0,0,0,19.4,16.6,2.8,1
1,4.01,1,28,0,4,0,16.6,18.5,-1.9,0
2,10.39,1,28,0,6,0,34.6,31.9,2.7,1
1,6.84,2,25,0,10,0,15.7,14.4,1.3,1
4,7.12,2,24,0,11,0,31.3,27.3,4,1
2,6.4,2,27,1,11,0,30.5,33.5,-3,0
3,3.28,1,26,0,12,1,26.5,29.6,-3.1,0
3,2.49,1,38,0,12,0,24.1,27.8,-3.7,0
2,2.63,2,37,1,13,0,23.9,21.6,2.3,1
1,8.8,2,23,1,14,0,28.6,24.5,4.1,1
2,5.92,4,18,0,19,0,26,23.6,2.4,1
3,5.89,1,24,0,20,0,29.8,34.1,-4.3,0
2,9.6,1,25,0,21,0,29.4,26,3.4,1
2,10.98,1,33,0,1,1,36.2,40.5,-4.3,0
2,3.06,1,26,0,2,1,19.7,21.6,-1.9,0
2,7.7,1,24,0,7,1,32.8,33.3,-0.5,0
2,13.58,3,33,0,16,0,38.9,39.5,-0.6,0
2,14.09,3,31,1,2,1,49.9,52.4,-2.5,0
2,6.06,1,27,0,11,0,21.4,21.7,-0.3,0
1,9.62,1,27,0,11,0,27.3,29.5,-2.2,0
3,8.72,2,25,0,14,0,34.9,34.2,0.7,1
1,14.61,1,27,0,15,1,43.4,47,-3.6,0
1,14.59,5,32,1,17,1,56.6,56.5,0.1,1
3,3.74,4,24,0,18,1,31.2,31.4,-0.2,0
3,4.08,2,34,0,19,0,29.2,33.4,-4.2,0
3,17.09,2,32,0,5,0,48,46.5,1.5,1
1,7.56,2,23,0,6,0,29,32.5,-3.5,0
2,4.91,3,32,0,7,0,24.7,26.6,-1.9,0
4,8.07,2,31,1,10,0,35.7,38.7,-3,0
3,5.07,1,21,1,11,0,32.1,35.1,-3,0
1,8.56,1,29,0,12,1,29.8,31.3,-1.5,0
2,4.31,2,30,1,22,0,28.3,25.3,3,1
1,8.12,1,20,0,0,0,24.3,26.2,-1.9,0
2,12.34,2,31,1,1,0,36.4,40.5,-4.1,0
2,7.73,1,18,1,2,0,30.8,26.3,4.5,1
2,6.74,1,29,0,3,0,24,23,1,1
1,2.35,1,20,1,4,1,25.5,23.9,1.6,1
4,5.41,1,18,0,5,1,36,36,0,0
3,6.15,1,29,1,7,0,33.1,32.6,0.5,1
2,7.85,2,24,0,17,0,28.3,29.3,-1,0
3,5.2,1,25,0,17,1,30,33.9,-3.9,0
3,5.84,1,21,1,20,0,34.7,30.4,4.3,1
2,7.11,1,26,1,21,0,32.6,34.3,-1.7,0
1,4.31,1,25,0,22,0,14.3,15.8,-1.5,0
1,6.6,3,31,0,0,0,18.6,22.2,-3.6,0
2,6.24,1,24,0,0,0,23.2,24.9,-1.7,0
2,3.01,2,25,1,3,0,18.5,16,2.5,1
3,4.69,1,27,0,4,0,20.9,24.8,-3.9,0
2,5.41,1,24,1,5,0,25.5,30.2,-4.7,0
3,5.4,4,24,1,10,0,39,46.3,-7.3,0
3,3.24,1,28,1,10,0,24,26.3,-2.3,0
2,8.94,1,29,0,12,0,30.8,30.1,0.7,1
2,10.9,1,26,0,19,0,32.7,36.9,-4.2,0
2,5.57,1,26,0,20,1,29.8,32.3,-2.5,0
1,3.34,1,30,0,23,0,13.4,15.5,-2.1,0
4,7.99,1,33,0,3,0,29.3,29.8,-0.5,0
2,7.93,1,29,0,5,0,25.5,24.4,1.1,1
4,3.61,4,25,0,8,0,22.4,25.1,-2.7,0
3,5.52,4,33,0,9,0,30.9,29,1.9,1
1,7.15,5,26,0,9,1,33.5,32.3,1.2,1
1,3.2,4,18,1,10,0,23.3,20.1,3.2,1
2,5.84,2,33,1,11,0,23.5,27.9,-4.4,0
1,2.61,1,36,0,13,0,10,8.8,1.2,1
3,5.67,1,28,0,15,0,21.9,24.7,-2.8,0
3,5.2,1,39,0,15,0,24.3,26.9,-2.6,0
3,6.24,1,29,1,18,0,31.7,30.8,0.9,1
2,8.72,4,30,0,18,0,30.5,34.1,-3.6,0
2,5.11,1,19,0,20,0,27,27.3,-0.3,0
3,15.14,1,30,1,21,0,49.4,42.4,7,1
3,4.2,2,21,0,21,1,33.4,34.7,-1.3,0
2,9.1,4,33,0,23,0,31.8,35.9,-4.1,0
4,6.58,4,25,1,0,0,42.8,41.6,1.2,1
1,7.81,2,18,1,9,0,25.2,30.2,-5,0
2,13.99,3,33,1,10,0,46.1,41.5,4.6,1
3,3.57,3,30,1,10,1,39.7,37.4,2.3,1
3,10.12,1,33,0,10,0,27.9,31.7,-3.8,0
2,3.14,4,27,0,11,0,21.8,21,0.8,1
2,7.43,1,25,1,11,1,41.4,35.6,5.8,1
1,2.84,4,28,0,14,0,17.5,17.1,0.4,1
3,3.95,3,28,1,16,0,27.3,32.4,-5.1,0
3,4.38,3,34,0,19,1,32.6,38.9,-6.3,0
2,2.13,1,26,1,19,1,32.6,32.2,0.4,1
2,5.03,1,29,1,19,0,34.2,35.4,-1.2,0
1,3.07,1,30,1,2,0,16.8,16.8,0,0
1,1,1,22,0,2,0,13.1,12,1.1,1
3,5.57,3,20,1,7,1,42.4,40.7,1.7,1
2,8.45,1,18,0,8,0,28.5,31.7,-3.2,0
3,3.33,1,36,0,12,0,15.9,16.7,-0.8,0
2,4.43,3,26,1,14,0,27.3,30.2,-2.9,0
3,6.59,1,35,0,14,0,26.1,28.8,-2.7,0
1,5.25,1,27,1,20,1,23.9,26.7,-2.8,0
2,4.9,3,36,1,20,0,30,27.9,2.1,1
4,11.22,1,32,0,21,0,40.3,41.5,-1.2,0
2,12.04,4,28,1,22,0,45.7,40,5.7,1
3,5.51,1,30,0,1,0,25.1,28.4,-3.3,0
1,8.14,1,34,1,6,1,36,40.1,-4.1,0
2,5.28,4,31,1,7,0,26.6,25.8,0.8,1
2,6.5,1,22,0,8,0,25.1,28.9,-3.8,0
3,4.4,4,25,0,9,1,32.8,34.6,-1.8,0
3,3.81,1,35,0,10,1,29.6,34.5,-4.9,0
2,12.97,3,23,1,13,0,47.3,42.3,5,1
2,11.25,1,28,0,13,0,40.3,47,-6.7,0
2,7.93,2,26,0,13,1,37.2,38.1,-0.9,0
3,1.97,1,24,1,15,0,20.9,25,-4.1,0
1,4.56,1,28,0,19,0,18,19.3,-1.3,0
2,3.23,1,21,1,4,1,25.2,27,-1.8,0
3,8.35,3,23,0,6,0,36.4,38.2,-1.8,0
4,8.08,3,24,0,16,0,32.6,30.6,2,1
2,4.41,4,32,1,17,0,31.4,28.8,2.6,1
2,10.19,4,26,0,19,0,39.6,36.8,2.8,1
1,9.34,1,35,0,19,1,31.8,35.9,-4.1,0
3,3.82,2,27,0,20,0,30.8,28.1,2.7,1
1,5.89,1,31,0,23,0,17.3,19,-1.7,0
4,5.87,1,28,0,0,1,29.9,33.9,-4,0
2,4.68,1,32,1,1,0,23.4,20.1,3.3,1
1,4.23,1,28,0,3,0,9.8,11.1,-1.3,0
3,7.38,3,35,0,7,0,29,26,3,1
3,11.6,1,32,0,7,0,31.3,31.2,0.1,1
3,7.2,3,33,1,7,0,34.6,31.9,2.7,1
2,9.45,2,40,1,8,0,32.6,37.2,-4.6,0
1,3.78,1,34,0,8,0,13.5,12.6,0.9,1
2,3.77,3,39,0,15,0,14.8,15.1,-0.3,0
2,7.43,1,21,1,15,0,29.1,34.3,-5.2,0
2,3.87,1,22,0,16,1,24.3,23.8,0.5,1
4,6.57,2,24,0,16,1,40.5,37.1,3.4,1
2,3.57,2,34,0,19,0,24,24.2,-0.2,0
4,4.98,1,39,0,2,0,27.5,24,3.5,1
3,3.48,3,32,0,3,0,26.3,31.5,-5.2,0
1,5.53,3,35,0,3,0,16.1,17.4,-1.3,0
2,4.51,4,27,0,10,0,25.8,27.7,-1.9,0
1,10.34,2,24,1,12,0,35.5,30.2,5.3,1
2,7.41,2,20,1,14,1,39.3,42.5,-3.2,0
3,6.06,1,37,0,17,0,24.9,25.6,-0.7,0
2,4.02,2,29,1,17,0,23.7,27.3,-3.6,0
3,7.7,1,26,0,17,1,34.7,41.4,-6.7,0
2,7.3,5,28,0,18,0,33.1,32.1,1,1
3,4.48,4,33,0,3,0,27.1,26.1,1,1
2,12.28,2,29,1,7,0,42.6,42.7,-0.1,0
3,7.99,2,24,0,9,0,32.9,33.8,-0.9,0
2,9.88,2,25,1,10,0,38.2,34.5,3.7,1
4,4.51,4,23,1,12,0,39.6,41,-1.4,0
2,9.68,5,22,1,13,0,43.6,44.5,-0.9,0
1,5.86,1,33,1,16,0,20.6,17.8,2.8,1
2,5.33,1,31,0,17,1,27.8,28.6,-0.8,0
3,3.92,3,38,0,22,0,25.3,23.9,1.4,1
2,2.01,4,35,0,1,0,16.4,14.5,1.9,1
2,3.83,1,27,0,5,0,17.9,18,-0.1,0
2,5.35,5,24,0,8,0,29.7,32.9,-3.2,0
3,10.36,1,35,0,10,0,30.6,29.2,1.4,1
1,7.1,1,25,1,13,0,29.6,25.9,3.7,1
3,6.45,3,32,0,17,1,33,31.3,1.7,1
2,6.38,1,29,1,19,0,33.3,31.5,1.8,1
3,6.92,1,21,1,22,0,29.2,34.1,-4.9,0
2,6.42,2,27,1,23,0,26.7,30.1,-3.4,0
2,3.81,5,34,0,2,1,26.8,22.9,3.9,1
3,11.73,1,39,1,5,0,46.4,42.9,3.5,1
2,5.12,1,31,0,7,0,22.9,21.7,1.2,1
3,12.9,5,26,1,12,1,61.1,57.3,3.8,1
3,3.2,3,31,0,12,0,27.7,32.5,-4.8,0
1,4.52,2,30,1,12,0,23.9,20.6,3.3,1
1,3.44,2,34,0,17,0,15,16,-1,0
3,6.04,3,38,1,17,0,31,27.1,3.9,1
2,5.86,3,25,0,19,0,34.1,39.5,-5.4,0
3,8.08,3,29,0,21,1,41.7,40.8,0.9,1
3,8.15,2,30,0,7,0,36.2,41.8,-5.6,0
1,6.34,3,24,1,7,1,35.2,33.2,2,1
1,12.63,1,24,0,11,0,31.6,29.3,2.3,1
2,8.42,5,30,1,17,0,37.2,44.2,-7,0
3,3.48,2,23,0,17,0,22.2,19.7,2.5,1
4,6.57,1,19,0,19,1,39.5,41.7,-2.2,0
3,9.34,2,22,1,19,0,41.5,44.7,-3.2,0
2,5,2,29,1,20,0,33.7,30.6,3.1,1
2,3.44,3,36,0,0,0,21.4,18.7,2.7,1
2,11.83,4,27,1,3,0,46.7,51.4,-4.7,0
2,5.11,2,30,0,9,1,24.9,22.2,2.7,1
2,4.59,1,30,0,10,0,21.6,24.2,-2.6,0
1,5.69,2,35,1,12,0,20.7,20,0.7,1
3,5.19,2,26,1,13,1,41.1,47.7,-6.6,0
1,8.75,4,23,0,19,1,40.6,47,-6.4,0
1,7.56,1,20,0,19,0,24.4,26,-1.6,0
1,11.25,4,26,0,19,1,47.6,48.2,-0.6,0
3,5.69,2,24,0,20,0,36.1,35.8,0.3,1
1,6.47,1,30,0,21,0,16.7,14.5,2.2,1
2,4.62,2,32,0,22,0,22.6,21.8,0.8,1
1,8.3,1,32,0,23,0,23.7,22.2,1.5,1
1,3.38,1,27,0,1,0,10.3,12,-1.7,0
2,6.02,2,25,1,4,0,26.6,28.2,-1.6,0
4,7.35,2,18,1,5,1,48.6,48.5,0.1,1
3,8.64,3,31,1,5,0,36.6,43.5,-6.9,0
1,4.39,1,27,1,8,0,18.9,16.4,2.5,1
1,5.1,4,31,0,12,0,24.5,27.8,-3.3,0
2,4.7,1,24,0,15,1,23.9,22.5,1.4,1
3,8.58,1,34,0,17,0,25.5,22,3.5,1
