order_id,delivery_person_id,age,rating,order_date,order_hour,day_of_week,month,is_weekend,is_peak_hour,weather,traffic,vehicle,distance_km,restaurant_name,city_zone,festival,multiple_deliveries,actual_time_mins,estimated_mins
ORD000022,DP0393,27,3.6,2023-01-03T00:00:00Z,4,Wednesday,January,0,0,cloudy,low,bike,3.99,Roll Master,North,None,1,21.8,22.8
ORD000023,DP0259,24,4.5,2023-01-04T00:00:00Z,6,Wednesday,January,0,0,windy,medium,bike,17.62,Noodle House,South,Navratri,1,56.7,63.2
ORD000024,DP0137,29,3.9,2023-01-04T00:00:00Z,7,Wednesday,January,0,0,rainy,low,scooter,25,Curry Corner,West,Holi,0,67.2,66.1
ORD000025,DP0040,23,4.8,2023-01-04T00:00:00Z,11,Wednesday,January,0,0,cloudy,low,bike,5.77,Curry Corner,Central,None,1,25.6,26.1
ORD000026,DP0243,39,3.7,2023-01-04T00:00:00Z,22,Wednesday,January,0,0,windy,high,bike,3.08,Curry Corner,East,None,1,27.5,28.7
ORD000027,DP0226,28,3.7,2023-01-04T00:00:00Z,23,Wednesday,January,0,0,sunny,medium,bike,9.46,Noodle House,South,None,0,29.8,31.3
ORD000028,DP0421,31,3.6,2023-01-04T00:00:00Z,23,Wednesday,January,0,0,sunny,low,bike,4.83,Sushi Spot,West,Holi,0,20.3,21.8
ORD000029,DP0498,24,3.8,2023-01-04T00:00:00Z,1,Thursday,January,0,0,sunny,medium,bike,3.9,Pizza Hub,West,None,1,19,18.4
ORD000030,DP0284,24,4.8,2023-01-04T00:00:00Z,3,Thursday,January,0,0,foggy,medium,bike,3.57,Noodle House,Central,None,0,26.8,24
ORD000031,DP0466,30,3.1,2023-01-04T00:00:00Z,4,Thursday,January,0,0,rainy,medium,bike,8.89,Burger Palace,North,None,0,26.9,30.5
ORD000032,DP0240,29,4.3,2023-01-05T00:00:00Z,5,Thursday,January,0,0,cloudy,low,bicycle,3.11,Rice Bucket,West,None,0,15.4,18.4
ORD000033,DP0470,39,3,2023-01-05T00:00:00Z,6,Thursday,January,0,0,sunny,medium,bike,2.52,Burger Palace,East,None,1,18.9,17
ORD000034,DP0306,29,3.6,2023-01-05T00:00:00Z,6,Thursday,January,0,0,sunny,low,bike,4.82,Burger Palace,Central,None,1,17.3,17.8
ORD000035,DP0233,27,4.6,2023-01-05T00:00:00Z,7,Thursday,January,0,0,rainy,high,bike,6.24,Sushi Spot,North,None,0,33,37.2
ORD000036,DP0115,30,3.3,2023-01-05T00:00:00Z,11,Thursday,January,0,0,cloudy,medium,bike,8.89,Burger Palace,South,None,0,27.4,26.5
ORD000037,DP0353,26,4.1,2023-01-05T00:00:00Z,18,Thursday,January,0,0,sunny,medium,scooter,12.93,Curry Corner,West,None,0,36.4,35.8
ORD000038,DP0136,24,4.1,2023-01-05T00:00:00Z,20,Thursday,January,0,1,windy,high,scooter,6.58,Biryani Express,Central,None,0,30.8,33
ORD000039,DP0332,25,3.3,2023-01-06T00:00:00Z,6,Friday,January,0,0,rainy,high,bike,3.04,Spice Garden,East,None,0,25.8,25.1
ORD000040,DP0163,27,3.9,2023-01-06T00:00:00Z,6,Friday,January,0,0,sunny,medium,scooter,7.32,Rice Bucket,South,None,1,31.5,29.9
ORD000041,DP0339,28,4.6,2023-01-06T00:00:00Z,6,Friday,January,0,0,sunny,medium,scooter,10.26,Sushi Spot,East,None,0,31.6,30.2
ORD000042,DP0270,24,3.8,2023-01-06T00:00:00Z,18,Friday,January,0,0,sunny,high,scooter,4.08,Taco Town,Central,None,0,21.1,19.4
ORD000043,DP0314,32,3.3,2023-01-06T00:00:00Z,18,Friday,January,0,0,rainy,medium,bike,3.89,Curry Corner,North,None,0,17.8,17.7
ORD000044,DP0157,19,4.9,2023-01-06T00:00:00Z,21,Friday,January,0,1,cloudy,low,scooter,5.99,Wrap Zone,South,Christmas,0,28.8,34.4
ORD000045,DP0159,28,4.2,2023-01-06T00:00:00Z,22,Friday,January,0,0,rainy,medium,bike,13.06,Salad Bowl,East,None,0,38.6,44.4
ORD000046,DP0344,30,4.3,2023-01-06T00:00:00Z,22,Friday,January,0,0,sunny,high,bike,7.5,Sushi Spot,North,None,1,30.3,32.3
ORD000047,DP0240,26,4.1,2023-01-06T00:00:00Z,1,Saturday,January,1,0,sunny,low,scooter,8.58,Roll Master,South,None,1,27.8,27.9
ORD000048,DP0441,24,4.1,2023-01-07T00:00:00Z,13,Saturday,January,1,1,sunny,high,bike,3.05,Sushi Spot,West,None,1,31.5,31.7
ORD000049,DP0390,28,4.5,2023-01-07T00:00:00Z,16,Saturday,January,1,0,rainy,high,bike,10.88,Dosa Point,East,None,0,41.9,43.6
ORD000050,DP0235,18,4.6,2023-01-07T00:00:00Z,19,Saturday,January,1,1,cloudy,high,bike,3.84,Noodle House,North,None,1,34.3,35.8
ORD000051,DP0058,32,4.6,2023-01-07T00:00:00Z,20,Saturday,January,1,1,cloudy,low,bike,5.54,Sushi Spot,East,None,1,24.5,25.5
ORD000052,DP0195,29,3.7,2023-01-07T00:00:00Z,20,Saturday,January,1,1,sunny,high,scooter,4.36,Dosa Point,Central,None,0,21.5,20.7
ORD000053,DP0490,19,3.7,2023-01-07T00:00:00Z,23,Saturday,January,1,0,rainy,medium,scooter,4.92,Curry Corner,South,None,1,28.8,34.1
ORD000054,DP0341,18,3.4,2023-01-07T00:00:00Z,4,Sunday,January,1,0,sunny,medium,bike,4.02,Taco Town,West,Diwali,0,28.1,24.6
ORD000055,DP0064,30,4.1,2023-01-07T00:00:00Z,4,Sunday,January,1,0,cloudy,medium,bike,9.35,Sushi Spot,West,None,0,30.7,29.6
ORD000056,DP0276,38,4.2,2023-01-08T00:00:00Z,9,Sunday,January,1,0,sunny,medium,bicycle,5.01,Roll Master,North,None,1,19.2,21.8
ORD000057,DP0061,28,4.1,2023-01-08T00:00:00Z,10,Sunday,January,1,0,sunny,medium,bicycle,3.58,Salad Bowl,South,None,1,19.3,22.7
ORD000058,DP0215,25,4.1,2023-01-08T00:00:00Z,10,Sunday,January,1,0,sunny,low,scooter,25,BBQ Junction,South,None,0,57,58.4
ORD000059,DP0156,42,3.4,2023-01-08T00:00:00Z,13,Sunday,January,1,1,cloudy,low,scooter,7.62,Taco Town,South,None,0,29.1,25.7
ORD000060,DP0147,35,4.2,2023-01-08T00:00:00Z,14,Sunday,January,1,0,cloudy,low,bike,7.35,BBQ Junction,South,Diwali,1,34.9,38
ORD000061,DP0130,20,4.6,2023-01-08T00:00:00Z,14,Sunday,January,1,0,sunny,jam,scooter,2.79,Rice Bucket,East,Diwali,0,29.7,34.4
ORD000062,DP0430,18,5,2023-01-08T00:00:00Z,17,Sunday,January,1,0,sunny,medium,bike,8.5,Sushi Spot,South,None,1,28.1,30.1
ORD000063,DP0117,35,4.8,2023-01-08T00:00:00Z,18,Sunday,January,1,0,sunny,high,bike,9.28,Sandwich Stop,North,None,0,34.9,30.9
ORD000064,DP0340,33,4.7,2023-01-08T00:00:00Z,21,Sunday,January,1,1,sunny,high,scooter,6.13,Rice Bucket,West,Eid,0,36.7,43.6
ORD000065,DP0151,33,3.9,2023-01-08T00:00:00Z,23,Sunday,January,1,0,sunny,low,scooter,2.47,Wrap Zone,West,None,1,14.9,14.9
ORD000066,DP0250,34,3.7,2023-01-08T00:00:00Z,3,Monday,January,0,0,foggy,high,bike,10.59,Biryani Express,North,Eid,0,45.2,41.2
ORD000067,DP0180,28,3.1,2023-01-08T00:00:00Z,5,Monday,January,0,0,windy,medium,scooter,17.02,Rice Bucket,West,None,0,47.7,54.1
ORD000068,DP0444,21,3.8,2023-01-09T00:00:00Z,8,Monday,January,0,0,sunny,jam,bicycle,5.85,Dosa Point,East,None,0,32.8,33.2
ORD000069,DP0335,28,3.9,2023-01-09T00:00:00Z,14,Monday,January,0,0,sunny,high,bike,4.86,Spice Garden,Central,Holi,0,27.6,32.9
ORD000070,DP0013,22,3.1,2023-01-09T00:00:00Z,19,Monday,January,0,1,cloudy,jam,bike,6.15,Pizza Hub,East,None,0,35.7,37.2
ORD000071,DP0116,30,3.7,2023-01-09T00:00:00Z,20,Monday,January,0,1,sunny,low,bike,14.3,Biryani Express,Central,None,0,40.8,48.8
ORD000072,DP0004,36,4.9,2023-01-09T00:00:00Z,21,Monday,January,0,1,sunny,low,bike,3.81,Noodle House,South,None,0,18.8,16.2
ORD000073,DP0045,24,4.8,2023-01-09T00:00:00Z,21,Monday,January,0,1,sunny,high,scooter,9.21,BBQ Junction,North,None,1,43.5,48.8
ORD000074,DP0421,29,4.6,2023-01-09T00:00:00Z,21,Monday,January,0,1,cloudy,medium,bike,2.47,Burger Palace,Central,None,0,18.2,15.9
ORD000075,DP0121,21,4.7,2023-01-09T00:00:00Z,22,Monday,January,0,0,sunny,medium,bike,3.8,Noodle House,East,None,1,19.1,19.9
ORD000076,DP0037,26,3.3,2023-01-09T00:00:00Z,23,Monday,January,0,0,sunny,low,bike,2.52,Noodle House,West,None,1,16.1,18
ORD000077,DP0031,32,4.7,2023-01-09T00:00:00Z,23,Monday,January,0,0,cloudy,medium,bicycle,6.76,Rice Bucket,North,None,0,22.8,25.1
ORD000078,DP0332,31,3.4,2023-01-09T00:00:00Z,4,Tuesday,January,0,0,sunny,low,bike,3.74,Biryani Express,North,New Year,1,25.6,30.7
ORD000079,DP0324,26,4.9,2023-01-10T00:00:00Z,6,Tuesday,January,0,0,sunny,medium,scooter,3.58,Biryani Express,East,None,1,15.4,14.8
ORD000080,DP0300,22,4.9,2023-01-10T00:00:00Z,11,Tuesday,January,0,0,sunny,jam,scooter,3.86,Taco Town,South,None,1,28.9,34.4
ORD000081,DP0314,30,4.4,2023-01-10T00:00:00Z,15,Tuesday,January,0,0,cloudy,medium,scooter,4.61,Wrap Zone,Central,Christmas,0,24,25.1
ORD000082,DP0400,24,4.3,2023-01-10T00:00:00Z,16,Tuesday,January,0,0,rainy,medium,bike,5.55,Sushi Spot,Central,Diwali,0,32.4,37.9
ORD000083,DP0486,20,3.7,2023-01-10T00:00:00Z,18,Tuesday,January,0,0,sunny,medium,scooter,13.83,Taco Town,South,None,0,39.3,34.7
ORD000084,DP0021,27,4.6,2023-01-10T00:00:00Z,21,Tuesday,January,0,1,sunny,medium,bike,11.36,Burger Palace,West,None,0,31.3,30.2
ORD000085,DP0462,30,3.9,2023-01-10T00:00:00Z,21,Tuesday,January,0,1,windy,low,bike,4.99,Rice Bucket,East,None,0,21.8,21
ORD000086,DP0410,19,4.8,2023-01-10T00:00:00Z,22,Tuesday,January,0,0,sunny,low,bike,8.66,Curry Corner,East,None,1,28,26.9
ORD000087,DP0431,23,4.7,2023-01-10T00:00:00Z,23,Tuesday,January,0,0,rainy,medium,scooter,6.4,Curry Corner,North,New Year,0,35.2,30.6
ORD000088,DP0208,33,4.1,2023-01-10T00:00:00Z,23,Tuesday,January,0,0,sunny,medium,scooter,4.91,Sandwich Stop,West,None,0,19.1,17.8
ORD000089,DP0124,31,3.9,2023-01-10T00:00:00Z,5,Wednesday,January,0,0,sunny,low,bike,7.61,Spice Garden,West,Navratri,1,29.4,31.8
ORD000090,DP0017,26,3.7,2023-01-11T00:00:00Z,5,Wednesday,January,0,0,rainy,medium,bicycle,6.43,Sandwich Stop,North,None,0,30.6,36.1
ORD000091,DP0157,23,4.4,2023-01-11T00:00:00Z,7,Wednesday,January,0,0,sunny,low,bike,8.58,Roll Master,North,Navratri,0,33.1,38.1
ORD000092,DP0206,29,3.6,2023-01-11T00:00:00Z,11,Wednesday,January,0,0,sunny,low,bike,5.15,Spice Garden,Central,None,0,12.9,13.7
ORD000093,DP0004,28,4.4,2023-01-11T00:00:00Z,11,Wednesday,January,0,0,rainy,low,scooter,4.9,Burger Palace,West,None,0,19.3,18.9
ORD000094,DP0230,28,3.6,2023-01-11T00:00:00Z,13,Wednesday,January,0,1,rainy,low,scooter,4.74,Biryani Express,South,None,0,22.3,24.9
ORD000095,DP0322,20,4.7,2023-01-11T00:00:00Z,17,Wednesday,January,0,0,sunny,high,scooter,8.41,Noodle House,South,None,0,30.7,31.4
ORD000096,DP0204,30,4.4,2023-01-11T00:00:00Z,23,Wednesday,January,0,0,cloudy,medium,bike,7.53,Curry Corner,Central,None,0,23.9,21
ORD000097,DP0314,30,3.5,2023-01-11T00:00:00Z,0,Thursday,January,0,0,sunny,jam,bike,8.97,Pizza Hub,Central,None,1,31.3,27.6
ORD000098,DP0434,26,4.8,2023-01-11T00:00:00Z,2,Thursday,January,0,0,rainy,low,scooter,4.45,Sushi Spot,North,None,1,25.2,29.4
ORD000099,DP0362,31,4.7,2023-01-12T00:00:00Z,8,Thursday,January,0,0,cloudy,high,scooter,4.82,Spice Garden,West,New Year,1,38.7,39.5
ORD000100,DP0019,30,3.4,2023-01-12T00:00:00Z,11,Thursday,January,0,0,cloudy,medium,bike,3.28,Taco Town,Central,None,1,18.8,19.7
ORD000101,DP0267,28,3.4,2023-01-12T00:00:00Z,12,Thursday,January,0,1,sunny,jam,scooter,2.9,Biryani Express,West,None,1,31.5,31.1
ORD000102,DP0024,30,3,2023-01-12T00:00:00Z,4,Friday,January,0,0,rainy,high,bicycle,8.2,Dosa Point,East,None,1,38.7,45.6
ORD000103,DP0416,23,4.9,2023-01-13T00:00:00Z,7,Friday,January,0,0,sunny,low,bike,2.95,Taco Town,Central,None,1,19.3,18.1
ORD000104,DP0108,21,3.8,2023-01-13T00:00:00Z,15,Friday,January,0,0,sunny,medium,scooter,4.93,Biryani Express,North,None,1,24.8,26.3
ORD000105,DP0086,32,3.6,2023-01-13T00:00:00Z,16,Friday,January,0,0,cloudy,low,scooter,6.15,Taco Town,West,Navratri,0,30.4,30.8
ORD000106,DP0238,26,4.6,2023-01-13T00:00:00Z,18,Friday,January,0,0,cloudy,medium,bike,3.44,Roll Master,North,Eid,0,26.8,30.4
ORD000107,DP0326,34,4.9,2023-01-13T00:00:00Z,19,Friday,January,0,1,cloudy,medium,bike,16.44,Salad Bowl,North,None,0,51.2,52.9
ORD000108,DP0356,28,3.4,2023-01-13T00:00:00Z,19,Friday,January,0,1,cloudy,high,scooter,6.54,Biryani Express,North,Navratri,0,40.7,37.6
ORD000109,DP0132,20,4.4,2023-01-13T00:00:00Z,21,Friday,January,0,1,rainy,medium,bike,6.71,Taco Town,West,None,0,31.4,35.8
ORD000110,DP0041,35,4.4,2023-01-13T00:00:00Z,22,Friday,January,0,0,sunny,medium,bicycle,7.33,Roll Master,Central,None,1,26.8,24.4
ORD000111,DP0248,38,4.8,2023-01-13T00:00:00Z,3,Saturday,January,1,0,sunny,high,scooter,5.49,Rice Bucket,North,None,0,20.8,22.8
ORD000112,DP0380,31,4.8,2023-01-14T00:00:00Z,6,Saturday,January,1,0,windy,medium,bike,2.75,BBQ Junction,North,None,0,17.7,17.1
ORD000113,DP0261,30,4.9,2023-01-14T00:00:00Z,7,Saturday,January,1,0,sunny,medium,bike,6.69,Curry Corner,West,None,1,30.7,26.6
ORD000114,DP0381,22,4.8,2023-01-14T00:00:00Z,8,Saturday,January,1,0,cloudy,high,bike,2.93,Rice Bucket,South,None,1,28,28
ORD000115,DP0480,33,3.6,2023-01-14T00:00:00Z,10,Saturday,January,1,0,rainy,high,bike,7.83,BBQ Junction,Central,None,1,33.7,38.2
ORD000116,DP0481,21,4.4,2023-01-14T00:00:00Z,15,Saturday,January,1,0,cloudy,high,bicycle,5.73,Curry Corner,North,None,0,24.6,24
ORD000117,DP0426,19,4.1,2023-01-14T00:00:00Z,15,Saturday,January,1,0,cloudy,medium,scooter,7.13,Rice Bucket,North,None,0,27.3,30.9
ORD000118,DP0076,19,3.1,2023-01-14T00:00:00Z,16,Saturday,January,1,0,rainy,medium,scooter,3.83,Taco Town,West,Eid,0,32.2,38.2
ORD000119,DP0177,29,4.7,2023-01-14T00:00:00Z,18,Saturday,January,1,0,rainy,high,bike,6.29,Pizza Hub,South,None,0,28.3,29.6
ORD000120,DP0231,32,4.7,2023-01-14T00:00:00Z,23,Saturday,January,1,0,cloudy,medium,bike,4.93,Dosa Point,North,None,1,23.3,23.6
ORD000121,DP0281,25,4.9,2023-01-14T00:00:00Z,0,Sunday,January,1,0,cloudy,medium,bike,7.63,BBQ Junction,South,None,0,23.9,21.3
ORD000122,DP0117,30,3.6,2023-01-14T00:00:00Z,1,Sunday,January,1,0,sunny,low,bicycle,5.39,Sushi Spot,East,None,0,14.4,15.2
ORD000123,DP0430,27,4.7,2023-01-14T00:00:00Z,4,Sunday,January,1,0,cloudy,medium,bike,6.05,Wrap Zone,Central,None,0,20.9,24.7
ORD000124,DP0214,22,4.1,2023-01-14T00:00:00Z,4,Sunday,January,1,0,cloudy,high,scooter,4.77,Roll Master,West,None,0,24.2,26.8
ORD000125,DP0250,36,5,2023-01-15T00:00:00Z,7,Sunday,January,1,0,sunny,medium,bike,3.15,Curry Corner,South,Eid,1,30.5,33.4
ORD000126,DP0293,26,4.9,2023-01-15T00:00:00Z,8,Sunday,January,1,0,cloudy,medium,scooter,6.03,Burger Palace,Central,Holi,0,26.2,30.3
ORD000127,DP0424,27,3.1,2023-01-15T00:00:00Z,10,Sunday,January,1,0,cloudy,medium,bike,6.02,Roll Master,South,None,1,28.4,29.8
ORD000128,DP0255,22,4.6,2023-01-15T00:00:00Z,12,Sunday,January,1,1,sunny,low,bike,6.07,Noodle House,West,None,0,26.2,30.8
ORD000129,DP0198,31,4.6,2023-01-15T00:00:00Z,16,Sunday,January,1,0,sunny,jam,bike,3.41,Pizza Hub,North,None,0,19.8,23.3
ORD000130,DP0056,18,3.8,2023-01-15T00:00:00Z,21,Sunday,January,1,1,rainy,high,bike,9.87,Spice Garden,North,None,1,50.5,43.7
ORD000131,DP0319,25,4.7,2023-01-15T00:00:00Z,22,Sunday,January,1,0,sunny,high,bike,8.23,Biryani Express,Central,None,1,35.4,33.2
ORD000132,DP0432,38,4.3,2023-01-15T00:00:00Z,1,Monday,January,0,0,cloudy,medium,bike,5.36,Rice Bucket,Central,New Year,0,25.6,25
ORD000133,DP0487,36,3.4,2023-01-15T00:00:00Z,1,Monday,January,0,0,sunny,medium,bike,8.21,Taco Town,Central,New Year,0,30.9,36.3
ORD000134,DP0308,20,3.8,2023-01-16T00:00:00Z,6,Monday,January,0,0,sunny,low,bike,2.94,BBQ Junction,South,None,0,7.4,7.8
ORD000135,DP0300,24,3.9,2023-01-16T00:00:00Z,7,Monday,January,0,0,sunny,high,bike,1.92,Pizza Hub,West,Eid,0,21.9,21.3
ORD000136,DP0208,18,4.4,2023-01-16T00:00:00Z,10,Monday,January,0,0,sunny,low,bike,7.05,BBQ Junction,North,Diwali,0,27.4,28.6
ORD000137,DP0310,30,3.1,2023-01-16T00:00:00Z,13,Monday,January,0,1,rainy,jam,bicycle,13.38,Taco Town,Central,New Year,0,53.3,54.4
ORD000138,DP0041,27,4.5,2023-01-16T00:00:00Z,14,Monday,January,0,0,cloudy,high,scooter,4.5,Curry Corner,South,None,1,26.5,25.8
ORD000139,DP0185,25,3.3,2023-01-16T00:00:00Z,4,Tuesday,January,0,0,sunny,medium,bike,6.33,Burger Palace,North,None,1,28.8,31
ORD000140,DP0282,26,4.3,2023-01-16T00:00:00Z,5,Tuesday,January,0,0,sunny,high,bike,8.39,Curry Corner,Central,None,1,30.8,33.9
ORD000141,DP0103,35,3.9,2023-01-17T00:00:00Z,7,Tuesday,January,0,0,sunny,low,bike,9.79,Sushi Spot,West,None,0,23.4,26.6
ORD000142,DP0426,24,3.7,2023-01-17T00:00:00Z,8,Tuesday,January,0,0,cloudy,high,bike,2.92,Noodle House,North,None,0,23.7,26.2
ORD000143,DP0284,31,3,2023-01-17T00:00:00Z,11,Tuesday,January,0,0,cloudy,high,bike,6.06,Dosa Point,North,None,0,24.3,24.3
ORD000144,DP0071,29,4,2023-01-17T00:00:00Z,14,Tuesday,January,0,0,sunny,medium,bike,3.62,Wrap Zone,East,None,0,19.5,18.5
ORD000145,DP0112,30,3.6,2023-01-17T00:00:00Z,16,Tuesday,January,0,0,sunny,medium,scooter,5.35,Taco Town,East,None,0,19.2,21.7
ORD000146,DP0105,25,3,2023-01-17T00:00:00Z,16,Tuesday,January,0,0,sunny,high,bike,4.23,Noodle House,Central,None,1,26.4,28.3
ORD000147,DP0246,27,5,2023-01-17T00:00:00Z,16,Tuesday,January,0,0,sunny,medium,bike,5.52,Spice Garden,Central,None,0,25.6,26.6
ORD000148,DP0392,24,3,2023-01-17T00:00:00Z,17,Tuesday,January,0,0,windy,medium,bike,5.2,BBQ Junction,North,Diwali,1,35.4,32.9
ORD000149,DP0332,35,3.5,2023-01-17T00:00:00Z,1,Wednesday,January,0,0,sunny,jam,bike,3.28,Burger Palace,West,None,1,28.8,27.2
ORD000150,DP0141,18,4.1,2023-01-17T00:00:00Z,2,Wednesday,January,0,0,sunny,medium,scooter,5.01,Dosa Point,Central,None,0,19.8,23.6
ORD000151,DP0220,30,4.6,2023-01-18T00:00:00Z,8,Wednesday,January,0,0,cloudy,medium,bike,9.38,Salad Bowl,East,None,0,25.4,30.2
ORD000152,DP0002,36,3.5,2023-01-18T00:00:00Z,11,Wednesday,January,0,0,windy,medium,bicycle,5.38,Burger Palace,West,None,1,25.2,26.3
ORD000153,DP0443,31,4.5,2023-01-18T00:00:00Z,15,Wednesday,January,0,0,sunny,medium,bicycle,3.39,Spice Garden,North,None,0,18.3,16.3
ORD000154,DP0134,28,4.2,2023-01-18T00:00:00Z,18,Wednesday,January,0,0,sunny,low,bike,6.13,Curry Corner,West,None,0,20.4,20.8
ORD000155,DP0320,29,4.6,2023-01-18T00:00:00Z,21,Wednesday,January,0,1,sunny,high,bike,2.87,Dosa Point,East,None,1,25.6,24.7
ORD000156,DP0281,28,3.1,2023-01-18T00:00:00Z,0,Thursday,January,0,0,sunny,high,bike,3.99,Curry Corner,Central,None,0,20,18.8
ORD000157,DP0154,31,4.5,2023-01-19T00:00:00Z,6,Thursday,January,0,0,sunny,medium,scooter,5.38,Pizza Hub,North,None,1,25.1,24.7
ORD000158,DP0159,32,5,2023-01-19T00:00:00Z,7,Thursday,January,0,0,sunny,high,scooter,3.83,Biryani Express,West,None,0,18.9,20.4
ORD000159,DP0333,18,3.5,2023-01-19T00:00:00Z,8,Thursday,January,0,0,sunny,low,scooter,5.19,Pizza Hub,East,None,1,18.4,17.4
ORD000160,DP0416,35,3.5,2023-01-19T00:00:00Z,13,Thursday,January,0,1,sunny,high,bike,10.87,BBQ Junction,North,None,1,41.5,48.5
ORD000161,DP0163,29,3.2,2023-01-19T00:00:00Z,14,Thursday,January,0,0,sunny,low,bike,2.37,Sandwich Stop,North,None,0,5.2,5
ORD000162,DP0050,31,3.2,2023-01-19T00:00:00Z,14,Thursday,January,0,0,sunny,medium,scooter,2.34,Salad Bowl,North,None,1,17.9,18.3
ORD000163,DP0355,25,4.2,2023-01-19T00:00:00Z,21,Thursday,January,0,1,sunny,medium,bike,6.09,Sushi Spot,North,None,0,27.1,28.7
ORD000164,DP0484,20,3.8,2023-01-19T00:00:00Z,22,Thursday,January,0,0,sunny,jam,bicycle,4.99,Rice Bucket,East,None,0,26.6,25.3
ORD000165,DP0375,27,3.2,2023-01-20T00:00:00Z,8,Friday,January,0,0,sunny,high,bike,5.56,Noodle House,South,None,0,22,25.6
ORD000166,DP0050,33,4.7,2023-01-20T00:00:00Z,10,Friday,January,0,0,sunny,low,bike,7.68,Dosa Point,Central,Eid,0,29.5,33.7
ORD000167,DP0150,28,3.2,2023-01-20T00:00:00Z,11,Friday,January,0,0,windy,low,scooter,10.21,Roll Master,North,None,1,35.8,38.6
ORD000168,DP0481,24,3.2,2023-01-20T00:00:00Z,13,Friday,January,0,1,cloudy,high,scooter,5.13,Sandwich Stop,East,None,1,35.8,40.2
ORD000169,DP0371,32,4.7,2023-01-20T00:00:00Z,14,Friday,January,0,0,sunny,medium,scooter,9.79,Curry Corner,Central,New Year,1,37.8,34.5
ORD000170,DP0495,36,4.8,2023-01-20T00:00:00Z,18,Friday,January,0,0,sunny,low,scooter,13.93,Burger Palace,Central,Christmas,1,44.7,42.6
